Time,Ground Speed,Steering Angle,Throttle Pos,Brake Pos,CG Accel Lateral,CG Accel Longitudinal,CG Accel Vertical,Chassis Yaw Rate,ABS Active,TC Active,Tire Slip Angle FL,Tire Slip Angle FR,Tire Slip Angle RL,Tire Slip Angle RR
0.0,5.74,110.5,24.6,0.0,-0.045,0.072,-0.002,4.41,0.0,0.0,-0.01,-0.22,-0.09,0.12
0.05,5.9,120.2,24.6,0.0,-0.042,0.07,-0.0019,4.86,0.0,0.0,-0.03,-0.17,-0.09,0.12
0.1,6.05,129.4,23.01,0.0,-0.042,0.069,-0.003,5.43,0.0,0.0,-0.05,-0.14,-0.08,0.13
0.15,6.14,134.9,23.01,0.0,-0.038,0.066,-0.0013,5.79,0.0,0.0,-0.05,-0.11,-0.09,0.13
0.2,6.28,145.2,22.61,0.0,-0.045,0.065,-0.0037,6.34,0.0,0.0,-0.08,-0.09,-0.1,0.11
0.25,6.38,150.4,20.23,0.0,-0.039,0.062,-0.0003,6.73,0.0,0.0,-0.08,-0.03,-0.1,0.11
0.3,6.51,158.0,17.06,0.0,-0.048,0.059,-0.0001,7.1,0.0,0.0,-0.13,-0.01,-0.13,0.08
0.35,6.6,160.4,15.47,0.0,-0.044,0.056,-0.0006,7.41,0.0,0.0,-0.14,0.03,-0.11,0.1
0.4,6.72,164.4,14.28,0.0,-0.035,0.052,-0.0003,7.73,0.0,0.0,-0.14,0.12,-0.13,0.09
0.45,6.8,163.3,14.28,0.0,-0.027,0.053,-0.001,7.76,0.0,0.0,-0.14,0.22,-0.15,0.07
0.5,6.92,154.7,15.87,0.0,-0.005,0.058,-0.0023,7.41,0.0,0.0,-0.11,0.4,-0.15,0.07
0.55,7.0,148.8,15.87,0.0,-0.012,0.054,-0.0024,7.0,0.0,0.0,-0.17,0.34,-0.13,0.09
0.6,7.11,141.0,12.7,0.0,-0.009,0.051,0.0009,6.72,0.0,0.0,-0.18,0.28,-0.09,0.14
0.65,7.18,142.1,11.5,0.0,-0.029,0.045,0.0023,6.9,0.0,0.0,-0.22,0.13,-0.07,0.16
0.7,7.27,147.2,13.88,0.0,-0.035,0.043,0.0006,7.46,0.0,0.0,-0.17,0.08,-0.1,0.14
0.75,7.34,150.7,15.47,0.0,-0.037,0.048,-0.001,7.67,0.0,0.0,-0.14,0.1,-0.15,0.07
0.8,7.44,156.0,17.46,0.0,-0.06,0.045,0.0011,8.01,0.0,0.0,-0.2,0.01,-0.17,0.05
0.85,7.52,162.9,17.46,0.0,-0.063,0.045,0.0014,8.47,0.0,0.0,-0.22,-0.03,-0.14,0.08
0.9,7.62,169.8,17.46,0.0,-0.061,0.047,0.0016,9.04,0.0,0.0,-0.21,0.02,-0.17,0.05
0.95,7.7,174.6,17.46,0.0,-0.065,0.048,0.0,9.31,0.0,0.0,-0.23,0.02,-0.18,0.03
1.0,7.81,180.5,15.87,0.0,-0.054,0.049,-0.0017,9.79,0.0,0.0,-0.24,0.08,-0.15,0.07
1.05,7.92,185.3,15.87,0.0,-0.057,0.044,-0.0012,10.24,0.0,0.0,-0.27,0.12,-0.17,0.05
1.1,7.98,186.6,15.87,0.0,-0.052,0.046,-0.0014,10.41,0.0,0.0,-0.28,0.17,-0.17,0.05
1.15,8.09,188.3,15.87,0.0,-0.049,0.045,-0.0008,10.59,0.0,0.0,-0.31,0.21,-0.16,0.06
1.2,8.16,188.3,15.87,0.0,-0.048,0.046,-0.0005,10.71,0.0,0.0,-0.32,0.24,-0.16,0.06
1.25,8.27,188.3,15.47,0.0,-0.049,0.045,-0.0002,10.82,0.0,0.0,-0.34,0.26,-0.17,0.05
1.3,8.34,187.5,15.47,0.0,-0.048,0.045,0.0003,10.91,0.0,0.0,-0.35,0.28,-0.17,0.05
1.35,8.45,185.1,15.47,0.0,-0.042,0.048,-0.0004,10.89,0.0,0.0,-0.33,0.33,-0.18,0.04
1.4,8.53,182.9,17.06,0.0,-0.043,0.048,-0.0006,10.82,0.0,0.0,-0.34,0.33,-0.19,0.04
1.45,8.64,179.5,18.25,0.0,-0.042,0.051,0.0,10.73,0.0,0.0,-0.34,0.31,-0.17,0.05
1.5,8.72,177.8,18.65,0.0,-0.043,0.052,0.0004,10.73,0.0,0.0,-0.33,0.29,-0.17,0.06
1.55,8.84,175.6,18.65,0.0,-0.046,0.052,0.0007,10.77,0.0,0.0,-0.33,0.27,-0.17,0.06
1.6,8.94,173.6,18.65,0.0,-0.045,0.053,0.0007,10.78,0.0,0.0,-0.31,0.27,-0.18,0.05
1.65,9.02,171.6,17.06,0.0,-0.045,0.053,-0.0003,10.73,0.0,0.0,-0.3,0.27,-0.19,0.04
1.7,9.15,169.2,16.27,0.0,-0.049,0.05,0.0,10.7,0.0,0.0,-0.3,0.23,-0.19,0.04
1.75,9.22,167.8,15.87,0.0,-0.049,0.05,0.0003,10.71,0.0,0.0,-0.29,0.22,-0.18,0.04
1.8,9.34,165.5,15.87,0.0,-0.049,0.05,0.0003,10.72,0.0,0.0,-0.28,0.22,-0.19,0.03
1.85,9.44,163.8,15.47,0.0,-0.049,0.05,-0.0001,10.7,0.0,0.0,-0.27,0.21,-0.19,0.03
1.9,9.51,162.3,15.08,0.0,-0.049,0.049,-0.0001,10.7,0.0,0.0,-0.27,0.2,-0.19,0.03
1.95,9.62,160.8,15.08,0.0,-0.05,0.049,-0.0003,10.7,0.0,0.0,-0.26,0.18,-0.19,0.03
2.0,9.7,159.8,15.08,0.0,-0.051,0.049,-0.0003,10.73,0.0,0.0,-0.26,0.17,-0.2,0.03
2.05,9.82,158.4,15.08,0.0,-0.053,0.049,-0.0003,10.75,0.0,0.0,-0.25,0.16,-0.2,0.02
2.1,9.9,157.0,15.08,0.0,-0.052,0.05,-0.0003,10.78,0.0,0.0,-0.24,0.16,-0.2,0.02
